location_id,lat,lon,crime_score,walk_score,NatWalkInd,light_count,light_score,safety_score,safe_label
sd_5800,32.95500000000001,-117.06000000000009,0.8941806110697107,0.7946428568223851,15.83333333,0,0.0,0.6457510197404517,1
sd_5801,32.95500000000001,-117.05450000000009,0.8941806110697107,0.6517857143478953,13.16666667,0,0.0,0.6100367341218291,1
sd_5802,32.95500000000001,-117.04900000000009,0.8941806110697107,0.9107142855516581,18.0,0,0.0,0.6747688769227699,1
sd_5803,32.95500000000001,-117.0435000000001,0.8941806110697107,0.9107142855516581,18.0,0,0.0,0.6747688769227699,1
sd_5804,32.95500000000001,-117.0380000000001,0.8941806110697107,0.31249999992633926,6.833333333,0,0.0,0.5252153055164401,0
sd_5805,32.95500000000001,-117.0325000000001,0.8941806110697107,0.31249999992633926,6.833333333,0,0.0,0.5252153055164401,0
sd_5806,32.95500000000001,-117.0270000000001,0.8941806110697107,0.31249999992633926,6.833333333,0,0.0,0.5252153055164401,0
sd_5807,32.95500000000001,-117.0215000000001,0.8941806110697107,0.31249999992633926,6.833333333,0,0.0,0.5252153055164401,0
sd_5808,32.95500000000001,-117.0160000000001,0.8941806110697107,0.34821428565210455,7.5,0,0.0,0.5341438769478815,0
sd_5809,32.95500000000001,-117.0105000000001,0.8941806110697107,0.31249999992633926,6.833333333,0,0.0,0.5252153055164401,0
sd_5810,32.95500000000001,-117.00500000000011,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5811,32.95500000000001,-116.99950000000011,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5812,32.95500000000001,-116.99400000000011,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5813,32.95500000000001,-116.98850000000012,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5814,32.95500000000001,-116.98300000000012,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5815,32.95500000000001,-116.97750000000012,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5816,32.95500000000001,-116.97200000000012,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5817,32.95500000000001,-116.96650000000012,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5818,32.95500000000001,-116.96100000000013,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5819,32.95500000000001,-116.95550000000013,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5820,32.95500000000001,-116.95000000000013,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5821,32.95500000000001,-116.94450000000013,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5822,32.95500000000001,-116.93900000000014,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5823,32.95500000000001,-116.93350000000014,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5824,32.95950000000001,-117.28,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_5825,32.95950000000001,-117.2745,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_5826,32.95950000000001,-117.269,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_5827,32.95950000000001,-117.26350000000001,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
